Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Greece,Mitilini,60.0,1.0,Good,35.269743405394756,Moderate,1.0,Good,50.0,L0,166.1204684,6.659014605,L0,Moderate
United States of America,Chicago Heights,77.0,1.0,Good,10.0,Good,2.743316408613251,Good,77.0,L1,184.2772852,4.160325044,L1,Moderate
Egypt,Beni Suef,108.0,1.0,,31.966462422999385,Unhealthy for Sensitive Groups,3.0,Good,108.0,L2,274.5103497,5.740104504,L2,Unhealthy for Sensitive Groups
Senegal,Thies,56.1532868562894,1.0,Good,22.0,Good,6.0,Good,56.65585337574389,L3,145.49684072633,5.231960057,L3,Unhealthy
India,Kabrai,52.04390977674111,1.0,,32.029590184776936,Unhealthy,0.0,Good,48.01183248523858,L3,135.10437776269566,2.588421536,L3,Unhealthy
Pakistan,Peshawar,55.44014230829271,1.0,Good,24.71658127341138,Unhealthy for Sensitive Groups,4.0,Good,54.39887360539717,L3,143.55299956365644,9.095438252,L3,Unhealthy
Colombia,Puerto Carreno,20.0,1.0,Good,4.0,Good,1.0,Good,20.0,L0,51.14506759,14.9356953,L0,Good
Republic of North Macedonia,Valandovo,33.0,1.0,Good,31.0,Good,2.0,Good,33.0,L0,89.74420038,-0.775032255,L0,Good
Bulgaria,Silistra,47.0,1.0,Good,31.0,Good,0.0,Good,47.0,L0,106.5240083,6.782716933,L0,Good
United Republic of Tanzania,Namalenga,68.0,1.0,Good,18.0,Good,1.0,Good,68.0,L1,173.5722505,4.528962996,L1,Moderate
India,Anand,52.028588847878645,1.0,,34.0,Good,0.0,Good,47.53562001990992,L3,135.0577162562159,2.322170178,L3,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Hove,36.0,1.0,Good,28.0,Good,3.0,Good,36.0,L0,105.3482611,2.735501653,L0,Good
Iran (Islamic Republic of),Marand,86.0,1.0,Good,44.0,Good,0.0,Good,86.0,L1,222.1566279,8.806649849,L1,Moderate
Japan,Isehara,37.0,1.0,Good,37.0,Good,2.0,Good,16.0,L0,97.22597709,0.82827146,L0,Good
United Republic of Tanzania,Namikupa,26.0,1.0,Good,22.0,Good,0.0,Good,26.0,L0,65.31651311,8.917490274,L0,Good
Italy,Barletta,48.0,1.0,Good,48.0,Good,1.0,Good,35.0,L0,122.3417163,-2.857561496,L0,Good
Thailand,Damnoen Saduak,42.0,1.0,Good,21.0,Good,0.0,Good,42.0,L0,97.76255153,1.312287663,L0,Good
Spain,Murcia,29.0,1.0,Good,29.0,Good,2.0,Good,20.0,L0,69.33064329,-5.444689387,L0,Good
Chad,Benoy,68.0,1.0,Good,13.0,Good,0.0,Good,68.0,L1,184.1339109,6.16223382,L1,Moderate
France,Lormont,42.0,1.0,Good,42.0,Good,0.0,Good,24.0,L0,102.5206638,4.316052047,L0,Good
United Republic of Tanzania,Lugoba,24.0,1.0,Good,15.0,Good,0.0,Good,24.0,L0,48.17341306,2.135554766,L0,Good
Russian Federation,Lensk,74.0,1.0,Good,51.0,Moderate,0.0,Good,74.0,L1,182.3313596,-0.329711016,L1,Moderate
India,Kattivakkam,56.81846796126142,1.0,Good,35.0,Good,7.0,Good,54.6773614401758,L2,147.1270481811225,3.281501124,L2,Unhealthy for Sensitive Groups
India,Kuju,53.94596440515889,1.0,Good,56.0,Moderate,1.0,Good,44.39892089360842,L3,139.55603510548548,7.53845695,L3,Unhealthy
France,Noeux Les Mines,31.0,1.0,,29.0,Good,1.0,Good,31.0,L0,90.33731397,5.119874912,L0,Good
Spain,El Escorial,41.0,1.0,Good,41.0,Good,0.0,Good,8.0,L0,101.1856297,10.46372308,L0,Good
Brazil,Sao Luis De Montes Belos,27.0,1.0,Good,27.0,Good,0.0,Good,21.0,L0,78.81418606,4.769297108,L0,Good
Italy,Pontedera,83.0,1.0,Good,62.40154602122588,Moderate,0.0,Good,39.0,L0,197.4139055,3.303623062,L0,Moderate
Ukraine,Kremenchuk,35.0,1.0,Good,31.0,Good,1.0,Good,33.0,L0,88.11885073,4.597717904,L0,Good
Brazil,Goiana,25.0,1.0,,31.0,Good,0.0,Good,22.0,L0,49.90048074,1.788680426,L0,Good
India,Muragachha,55.0076214049829,1.0,Good,21.0,Good,2.2676780591750942,Good,53.96144244516448,L3,142.30849567413364,15.16136607,L3,Unhealthy
China,Longjing,69.0,1.0,Good,48.0,Good,0.0,Good,69.0,L1,168.9838276,6.612088936,L1,Moderate
Ukraine,Izmayil,51.0,1.0,Good,43.0,Good,0.0,Good,51.0,L1,130.8855287,-0.161651553,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Kingsteignton,38.0,1.0,Good,32.0,Good,1.0,Good,38.0,L0,92.32453499,-0.880744484,L0,Good
Mexico,Suchiapa,67.0,1.0,Good,29.0,Good,1.0,Good,67.0,L1,173.4888722,3.467857052,L1,Moderate
Viet Nam,Long Xuyen,53.0,1.0,,24.0,Good,1.8826602897492322,Good,53.0,L1,149.2099649,3.917037915,L1,Moderate
South Sudan,Yei,39.0,1.0,Good,14.0,Good,0.0,Good,39.0,L0,111.2604578,-3.177745974,L0,Good
Zambia,Chipata,29.0,1.0,Good,19.0,Good,0.0,Good,29.0,L0,79.59686064,1.79772617,L0,Good
Turkey,Turgutlu,42.0,1.0,Good,42.0,Good,1.0,Good,32.0,L0,105.0873697,0.219450275,L0,Good
Netherlands,Geldermalsen,39.0,1.0,Good,29.0,Good,4.0,Good,39.0,L0,103.2682189,0.521013443,L0,Good
Italy,Cinisi,48.0,1.0,Good,48.0,Good,1.0,Good,25.0,L0,105.5040983,3.647136078,L0,Good
Italy,Capurso,58.0,1.0,Good,56.0,Moderate,2.0,Good,58.0,L1,132.6079485,5.575243033,L1,Moderate
Spain,Sada,34.0,1.0,Good,34.0,Good,2.0,Good,22.0,L0,108.0535446,3.984795118,L0,Good
Turkey,Niksar,42.0,1.0,Good,42.0,Good,0.0,Good,33.0,L0,110.5252637,5.227034454,L0,Good
Switzerland,Grenchen,59.0,1.0,Good,31.0,Good,1.0,Good,59.0,L1,149.6520444,-1.273353921,L1,Moderate
Germany,Offenbach,52.0,1.0,Good,27.0,Good,3.0,Good,52.0,L1,133.5982207,5.012099329,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Elgin,36.0,1.0,Good,36.0,Good,0.0,Good,33.0,L0,97.59595647,-1.76664283,L0,Good
United States of America,West Chester,55.0,1.0,Good,31.0,Good,1.794923043241132,Good,55.0,L1,141.1829975,8.3973261,L1,Moderate
China,Shima,107.59610043216733,1.0,Good,25.123450811028817,Unhealthy,3.0,Good,117.0,L2,273.6670815618402,5.510986671,L2,Unhealthy
India,Silvassa,52.60387830218582,1.0,Good,23.0,Good,0.0,Good,50.51678251035922,L2,136.43394198244567,7.918884932,L2,Unhealthy for Sensitive Groups
Germany,Huckeswagen,36.0,1.0,Good,31.0,Good,3.0,Good,36.0,L0,95.73863434,1.461535316,L0,Good
Italy,Manerbio,70.0,1.0,Good,31.0,Good,4.0,Good,70.0,L1,203.7446628,-0.451969986,L1,Moderate
Italy,Terlizzi,47.0,1.0,Good,31.0,Good,1.0,Good,34.0,L0,113.3131349,6.544892321,L0,Good
Germany,Dulmen,41.0,1.0,Good,31.0,Good,2.0,Good,41.0,L0,106.1466577,-3.889831415,L0,Good
,Caminawit,45.0,1.0,Good,21.0,Good,0.0,Good,45.0,L0,112.0045973,7.000767212,L0,Good
Dominican Republic,Neiba,55.9516726006893,1.0,Good,31.0,Good,6.0,Good,54.41677304048894,L2,144.99463122509954,2.48727895,L2,Unhealthy for Sensitive Groups
Chile,Castro,18.0,1.0,Good,18.0,Good,1.0,Good,10.0,L0,47.57301252,13.33244827,L0,Good
United Kingdom of Great Britain and Northern Ireland,Carlisle,38.0,1.0,Good,38.0,Good,0.0,Good,35.0,L0,117.7503702,3.231773962,L0,Good
United States of America,Columbia Heights,52.0,1.0,Good,42.0,Good,3.0,Good,52.0,L1,156.7856217,9.33489549,L1,Moderate
Turkey,Kutahya,63.0,1.0,,33.0,Good,0.0,Good,63.0,L1,157.4151643,8.834982281,L1,Moderate
Slovakia,Trnava,79.0,1.0,Good,41.0,Good,1.0,Good,79.0,L1,215.4791651,13.72634602,L1,Moderate
Netherlands,Nieuwkoop,34.0,1.0,Good,34.0,Good,1.0,Good,28.0,L0,89.02034268,-6.824844017,L0,Good
Germany,Kelheim,48.0,1.0,Good,28.0,Good,3.0,Good,48.0,L0,122.5415168,10.43596552,L0,Good
Brazil,Miguel Pereira,53.61463229884121,1.0,Good,10.0,Good,2.4693834325900768,Good,55.57984278264561,L3,139.14505223944312,6.610616563,L3,Unhealthy
Côte d'Ivoire,Yamoussoukro,56.0,1.0,Good,17.0,Good,0.0,Good,56.0,L1,150.8599177,10.35428432,L1,Moderate
Romania,Jibou,71.0,1.0,Good,24.0,Good,3.0,Good,71.0,L1,186.9066256,13.12023972,L1,Moderate
Russian Federation,Kumertau,37.0,1.0,Good,37.0,Good,0.0,Good,33.0,L0,111.6474534,-5.060756861,L0,Good
Russian Federation,Pervouralsk,40.0,1.0,Good,40.0,Good,0.0,Good,12.0,L0,95.26133846,8.818741241,L0,Good
South Africa,Kirkwood,83.0,1.0,Good,13.0,Good,3.0,Good,83.0,L1,223.5042844,5.017709519,L1,Moderate
Russian Federation,Karpinsk,24.0,1.0,Good,24.0,Good,0.0,Good,11.0,L0,64.28879709,5.484373452,L0,Good
France,Basse Terre,55.0,1.0,Good,28.0,Good,1.7424574928593628,Good,55.0,L1,133.9226682,2.60741405,L1,Moderate
United States of America,Paramount,90.0,1.0,Good,6.0,Good,3.0942799740077893,Good,90.0,L1,234.547044,3.795693495,L1,Moderate
Poland,Zambrow,35.0,1.0,Good,31.0,Good,0.0,Good,17.0,L0,73.82734807,0.646538372,L0,Good
Ukraine,Uzyn,54.0,1.0,Good,43.0,Good,0.0,Good,54.0,L1,146.9618972,7.522562487,L1,Moderate
Italy,Canosa Di Puglia,41.0,1.0,Good,37.0,Good,7.0,Good,41.0,L0,117.508205,7.663925585,L0,Good
Sri Lanka,Badulla,50.0,1.0,Good,26.0,Good,0.0,Good,50.0,L0,138.3049813,4.960082332,L0,Good
France,Fos Sur Mer,53.00289237299011,1.0,Good,23.0,Good,1.8434125567082866,Good,51.80186236140884,L2,137.60671599223124,2.623491614,L2,Unhealthy for Sensitive Groups
France,We,27.0,1.0,Good,27.0,Good,0.0,Good,11.0,L0,58.68450941,-1.624273418,L0,Good
India,Miranpur,56.98377526696566,1.0,,22.63189718382266,Unhealthy,5.0,Good,56.57246051457187,L5,147.27678862919547,15.47966816,L5,Hazardous
India,Nalhati,53.13248069720241,1.0,Good,31.0,Moderate,1.545063479996767,Good,49.89499217882623,L3,137.84267285812754,3.328179828,L3,Unhealthy
,Bremerton,41.0,1.0,Good,27.0,Good,6.0,Good,41.0,L0,106.5615438,-3.846953784,L0,Good
France,Gueret,38.0,1.0,Good,27.0,Good,1.0,Good,38.0,L0,119.4730423,4.189056733,L0,Good
Lithuania,Siauliai,33.0,1.0,Good,33.0,Good,0.0,Good,23.0,L0,89.76315953,0.874847118,L0,Good
Peru,Satipo,35.0,1.0,Good,3.0,Good,0.0,Good,35.0,L0,81.74349516,4.600612408,L0,Good
Zimbabwe,Hwange,44.0,1.0,,17.0,Good,0.0,Good,44.0,L0,102.0492123,-4.033979432,L0,Good
India,Itanagar,52.0,1.0,Good,28.0,Good,0.0,Good,52.0,L1,134.8343159,6.276738726,L1,Moderate
Russian Federation,Chaltyr,39.0,1.0,Good,39.0,Good,2.0,Good,11.0,L0,88.83141637,-2.353983031,L0,Good
United States of America,Sierra Vista,61.0,1.0,Good,21.0,Good,3.0,Good,61.0,L1,154.1291403,4.686641816,L1,Moderate
Japan,Tsuruga,58.0,1.0,Good,35.0,Good,3.0,Good,58.0,L1,159.0654416,0.570559728,L1,Moderate
Indonesia,Teluknaga,55.19951126698807,1.0,Good,26.320206742493006,Unhealthy,3.0,Good,53.307396464457405,L3,142.85258769647194,11.6360927,L3,Unhealthy
France,Herblay,61.0,1.0,Good,20.0,Good,6.0,Good,61.0,L1,151.600846,8.293336959,L1,Moderate
Thailand,Phra Phutthabat,112.0,1.0,Good,18.0,Good,7.0,Good,112.0,L2,284.6573692836505,2.973017738,L2,Unhealthy for Sensitive Groups
Thailand,Phrae,62.0,1.0,,24.0,Good,0.0,Good,62.0,L1,146.0544049,-2.830571385,L1,Moderate
Nigeria,Ihiala,53.299879944674274,1.0,Good,17.0,Good,2.1352038908307533,Good,53.556959417948754,L3,138.35056911305446,4.570218724670637,L3,Unhealthy
Germany,Frondenberg,44.0,1.0,Good,33.0,Good,2.0,Good,44.0,L0,107.8193522,1.821351131,L0,Good
Russian Federation,Mostovskoy,42.0,1.0,Good,42.0,Good,0.8033412752570332,Good,37.0,L0,128.0608912,-2.632455432,L0,Good
Czechia,Nachod,58.0,1.0,Good,41.0,Good,0.0,Good,58.0,L1,152.2668425,8.324110596,L1,Moderate
United States of America,Orangevale,53.0,1.0,Good,31.0,Good,7.0,Good,53.0,L1,143.3785589,-0.874739187,L1,Moderate
Venezuela (Bolivarian Republic of),San Antonio Del Tachira,51.0,1.0,Good,12.0,Good,3.0,Good,51.0,L1,129.9119914,1.11026232,L1,Moderate
Spain,Estepona,43.0,1.0,Good,43.0,Good,0.4318105313896048,Good,21.0,L0,128.8929714,1.96211999,L0,Good
Colombia,El Bagre,64.0,1.0,Good,24.0,Good,0.0,Good,64.0,L1,157.8236086,2.177825712,L1,Moderate
Brazil,Mauriti,20.0,1.0,Good,12.0,Good,1.0,Good,20.0,L0,49.57201028,2.775759876,L0,Good
Portugal,Alcabideche,38.0,1.0,Good,38.0,Good,2.0,Good,20.0,L0,115.2713238,0.069051196,L0,Good
United States of America,Scituate,45.0,1.0,,35.0,Good,5.0,Good,45.0,L0,115.9872672,3.00957686,L0,Good
Brazil,Camboriu,96.0,1.0,Good,10.0,Good,6.0,Good,96.0,L1,248.3262078,-3.212315217,L1,Moderate
United States of America,Rockville,54.0,1.0,Good,31.0,Good,5.0,Good,54.0,L1,138.3704369,-0.032550464,L1,Moderate
Turkey,Fatsa,41.0,1.0,Good,34.0,Good,1.2868182173410347,Good,41.0,L0,111.7615656,1.529774464,L0,Good
United Kingdom of Great Britain and Northern Ireland,Halifax,53.0,1.0,Good,31.0,Good,1.0,Good,53.0,L1,131.3586819,4.760074349,L1,Moderate
Turkey,Antakya,49.0,1.0,Good,42.0,Good,0.0,Good,49.0,L0,120.9057311,5.455232555,L0,Good
Spain,Ibi,37.0,1.0,Good,31.0,Good,0.0,Good,20.0,L0,67.58864029,5.031041139,L0,Good
India,Sanawad,54.224049434297456,1.0,Good,31.0,Good,3.0,Good,51.49830714670433,L3,140.574262642025,4.227839865,L3,Unhealthy
Japan,Usuki,44.0,1.0,Good,39.0,Good,2.0,Good,44.0,L0,123.425139,8.281392792,L0,Good
Peru,La Brea,34.0,1.0,Good,21.0,Good,0.0,Good,34.0,L0,95.42259391,3.494803067,L0,Good
El Salvador,Nueva San Salvador,75.0,1.0,,17.0,Good,4.0,Good,75.0,L1,176.9897382,0.77528187,L1,Moderate
Russian Federation,Chulym,43.0,1.0,Good,43.0,Good,0.49343136192246173,Good,23.0,L0,108.7470483,2.579091142,L0,Good
,Stavanger,29.0,1.0,Good,29.0,Good,1.1905094157767366,Good,14.0,L0,69.16866866,15.90013112,L0,Good
Brazil,Castanhal,30.0,1.0,Good,18.0,Good,0.0,Good,30.0,L0,85.13105798,3.846242217,L0,Good
China,Jixi,45.0,1.0,,40.0,Good,0.0,Good,45.0,L0,116.8625471,4.635232767,L0,Good
Ghana,Bawku,63.0,1.0,,18.0,Good,0.0,Good,63.0,L1,139.6671954,6.051318605,L1,Moderate
United States of America,Bellwood,82.0,1.0,Good,31.0,Good,2.249346205870455,Good,82.0,L1,227.3790476,7.89772471,L1,Moderate
India,Chandigarh,53.88570279966097,1.0,Good,31.0,Good,1.6743561007997425,Good,50.517226242287684,L3,139.60295482397646,8.029165585,L3,Unhealthy
Serbia,Kragujevac,57.0,1.0,Good,38.0,Good,0.0,Good,57.0,L1,128.9242855,2.886437266,L1,Moderate
Mexico,San Gabriel Casa Blanca,82.0,1.0,Good,8.0,Good,6.0,Good,82.0,L1,208.5841558,15.70285078,L1,Moderate
Brazil,Remanso,28.0,1.0,,20.0,Good,0.0,Good,28.0,L0,86.81567716,4.657651815,L0,Good
Italy,Bitetto,44.0,1.0,Good,44.0,Good,1.0,Good,20.0,L0,101.2616518,4.30346508,L0,Good
Netherlands,Zeewolde,36.0,1.0,Good,34.0,Good,1.0,Good,36.0,L0,90.53545522,6.393408252,L0,Good
Germany,Bad Rappenau,50.0,1.0,,28.0,Good,3.0,Good,50.0,L0,123.8183955,11.3423662,L0,Good
France,Fresnes,72.0,1.0,,20.0,Good,6.0,Good,72.0,L1,186.0032296,5.058568808,L1,Moderate
Italy,Caldogno,62.0,1.0,Good,32.0,Good,1.8594038818599883,Good,62.0,L1,159.1810562,7.541994343,L1,Moderate
Japan,Fukiage,83.0,1.0,Good,18.0,Good,2.779707157402476,Good,83.0,L1,198.7659711,11.90419908,L1,Moderate
Turkey,Gebze,57.0,1.0,Good,38.0,Good,0.0,Good,57.0,L1,145.6283445,10.02225305,L1,Moderate
United States of America,Hudson,55.0,1.0,Good,29.0,Good,6.0,Good,55.0,L1,130.7933747,5.855545275,L1,Moderate
France,Amboise,40.0,1.0,Good,24.0,Good,2.0,Good,40.0,L0,103.2737087,-0.774533025,L0,Good
Argentina,General Pico,15.0,1.0,Good,15.0,Good,0.0,Good,14.0,L0,38.74071755,8.558075611,L0,Good
India,Balod,53.85366721299566,1.0,Good,46.0,Good,1.0,Good,46.65161651071707,L3,139.38074669770427,8.431619831,L3,Unhealthy
Indonesia,Waingapu,55.0,1.0,Good,25.0,Good,0.0,Good,55.0,L1,146.5705229,3.341466095,L1,Moderate
Cameroon,Douala,79.0,1.0,Good,25.0,Good,1.0,Good,79.0,L1,206.0854771,9.46449631,L1,Moderate
China,Fenyi,81.37604887321186,1.0,Good,27.742222063644217,Unhealthy for Sensitive Groups,2.0,Good,85.0,L1,208.36108005497667,1.088565911,L1,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),Mahdasht,53.7268404815573,1.0,,25.349119570013602,Unhealthy for Sensitive Groups,4.0,Good,52.97602025581062,L2,139.5775966054528,-2.639786744,L2,Unhealthy for Sensitive Groups
Brazil,Alvinopolis,63.0,1.0,Good,2.0,Good,4.0,Good,63.0,L1,156.350559,6.769840152,L1,Moderate
Pakistan,Garh Maharaja,53.59288626744709,1.0,Good,46.0,Good,1.0229809759436659,Good,46.49922662929837,L3,138.7932205132275,6.006471571,L3,Unhealthy
Ukraine,Kivsharivka,44.0,1.0,Good,39.0,Good,0.0,Good,44.0,L0,111.9943061,13.09622074,L0,Good
Russian Federation,Peschanokopskoye,40.0,1.0,Good,40.0,Good,0.0,Good,25.0,L0,102.8983635,2.96706117,L0,Good
United States of America,Talladega,111.0,1.0,Good,10.0,Good,3.5213983039515337,Good,111.0,L2,281.91540631977216,11.82265175,L2,Unhealthy for Sensitive Groups
United States of America,Port Washington,68.0,1.0,,22.0,Good,2.4291140767429926,Good,68.0,L1,195.3658236,12.64624574,L1,Moderate
Indonesia,Poso,23.0,1.0,Good,11.0,Good,0.0,Good,23.0,L0,69.20992652,4.297670011,L0,Good
India,Bhanpura,53.29394297045427,1.0,Good,37.0,Good,0.0,Good,47.779986606274456,L3,137.97954415156343,10.49207538,L3,Unhealthy
India,Maisuru,27.0,1.0,Good,22.0,Good,0.0,Good,27.0,L0,69.83895945,4.465150238,L0,Good
Italy,Vimodrone,102.0,1.0,Good,31.0,Good,6.0,Good,102.0,L2,264.1069531,6.946290696,L2,Unhealthy for Sensitive Groups
United States of America,Summerville,46.0,1.0,Good,34.0,Good,5.0,Good,46.0,L0,114.9900873,0.109393295,L0,Good
Spain,Sitges,52.0,1.0,,52.0,Moderate,1.0,Good,50.0,L0,122.318632,11.76976296,L0,Moderate
Japan,Shimada,71.0,1.0,Good,27.0,Good,7.0,Good,71.0,L1,182.7010647,2.045825807,L1,Moderate
Russian Federation,Sibirskiy,49.0,1.0,Good,49.0,Good,0.0,Good,39.0,L0,132.1769317,8.99545211,L0,Good
Indonesia,Amuntai,45.0,1.0,Good,31.0,Good,0.0,Good,45.0,L0,118.4686603,-3.188507442,L0,Good
India,Balapur,55.884198655756414,1.0,Good,28.0,Good,3.0,Good,53.42898462327188,L3,144.43454094622544,16.00272666,L3,Unhealthy
United States of America,Neosho,61.0,1.0,,32.0,Good,2.0,Good,61.0,L1,159.6236205,6.611392375,L1,Moderate
Malaysia,Serendah,53.07547435204589,1.0,Good,9.0,Good,2.41690966392657,Good,55.38618667522808,L3,137.8934001709812,3.258652973,L3,Unhealthy
Belgium,Dour,39.0,1.0,Good,23.0,Good,4.0,Good,39.0,L0,78.87067564,1.499703789,L0,Good
Canada,Yorkton,25.0,1.0,Good,22.0,Good,1.0,Good,25.0,L0,52.35585938,10.17948692,L0,Good
India,Shergarh,52.81065711495895,1.0,Good,30.231726490374385,Unhealthy,1.0,Good,49.54023575539482,L3,137.02554609582822,3.65138965,L3,Unhealthy
South Africa,Duiwelskloof,63.0,1.0,Good,26.0,Good,1.0,Good,63.0,L1,151.184947,6.891170195,L1,Moderate
Russian Federation,Aleysk,35.0,1.0,Good,35.0,Good,0.0,Good,27.0,L0,90.71319112,-3.864710785,L0,Good
Bangladesh,Bhola,52.978515990036364,1.0,Good,31.0,Good,1.0,Good,49.48293648729464,L3,137.40993208815135,4.748831299,L3,Unhealthy
United States of America,Anniston,42.0,1.0,Good,31.0,Good,3.0,Good,42.0,L0,125.5838401,8.723604241,L0,Good
Afghanistan,Orgun,84.0,1.0,Good,37.0,Good,0.0,Good,84.0,L1,243.0137299,-0.263301743,L1,Moderate
India,Bhongaon,52.69822293528238,1.0,Good,30.273236353600296,Unhealthy,1.0,Good,49.44686204466595,L3,136.76466318336378,2.88127409,L3,Unhealthy
Japan,Ofunato,48.0,1.0,Good,24.0,Good,3.0,Good,48.0,L0,133.3924785,-1.420642703,L0,Good
United Kingdom of Great Britain and Northern Ireland,Borehamwood,34.0,1.0,Good,34.0,Good,4.0,Good,19.0,L0,90.82202926,6.421992529,L0,Good
Brazil,Paranavai,14.0,1.0,Good,9.0,Good,0.0,Good,14.0,L0,46.5389261,0.57693347,L0,Good
Poland,Czarnkow,32.0,1.0,Good,29.0,Good,1.0,Good,32.0,L0,76.55297001,9.757416788,L0,Good
United States of America,Ventnor City,36.0,1.0,Good,36.0,Good,1.0,Good,27.0,L0,83.16969335,3.430327416,L0,Good
Netherlands,Gorssel,30.0,1.0,Good,30.0,Good,2.0,Good,17.0,L0,79.84436911,-3.359931932,L0,Good
India,Lawar,52.962831093586125,1.0,Good,30.175544988828072,Unhealthy for Sensitive Groups,1.0,Good,49.66661235281089,L3,137.37863793017758,4.693702131,L3,Unhealthy
France,Carvin,49.0,1.0,Good,38.0,Good,1.0,Good,49.0,L0,119.538632,3.14218907,L0,Good
Japan,Ryugasaki,69.0,1.0,Good,54.76695567490345,Moderate,2.0,Good,30.0,L0,179.8321613,2.799121816,L0,Moderate
Belgium,Saint Nicolas,35.0,1.0,Good,32.0,Good,3.0,Good,35.0,L0,107.5235705,1.837191613,L0,Good
China,Urumqi,53.80013530807022,1.0,Good,29.866418497918538,Moderate,1.0,Good,50.36197208897115,L3,139.32144893944317,10.42879982,L3,Unhealthy
Chile,Arauco,50.0,1.0,Good,15.0,Good,5.0,Good,50.0,L0,114.8825346,3.215545429,L0,Good
United Republic of Tanzania,Kibaha,42.0,1.0,Good,19.0,Good,0.0,Good,42.0,L0,111.8091068,-9.62844104,L0,Good
Lithuania,Kretinga,34.0,1.0,Good,31.0,Good,0.0,Good,24.0,L0,85.08120545,1.33833478,L0,Good
United States of America,Taylors,58.0,1.0,Good,42.0,Good,1.3022795855643632,Good,58.0,L1,170.7777759,0.798003052,L1,Moderate
Austria,Sankt Veit,58.0,1.0,Good,33.0,Good,1.0,Good,58.0,L1,116.6510729,-3.397951992,L1,Moderate
Côte d'Ivoire,Dimbokro,52.0,1.0,,31.0,Good,0.0,Good,52.0,L1,151.4241925,11.59832369,L1,Moderate
Spain,Sant Cugat Del Valles,50.0,1.0,Good,31.0,Good,5.0,Good,50.0,L0,114.5780711,0.275880586,L0,Good
United States of America,San Carlos Park,53.0,1.0,Good,15.0,Good,2.1468229745731766,Good,53.0,L1,137.8277364,2.915153328,L1,Moderate
Russian Federation,Lvovskiy,69.0,1.0,Good,24.0,Good,2.1933549863270843,Good,69.0,L1,186.6360722,5.5033071,L1,Moderate
Kazakhstan,Shakhtinsk,41.0,1.0,Good,32.0,Good,0.0,Good,41.0,L0,125.3943871,0.353663935,L0,Good
India,Afzalpur,84.0,1.0,Good,25.0,Good,0.0,Good,84.0,L1,222.5429133,-1.165934703,L1,Moderate
United States of America,Harrisonburg,37.0,1.0,Good,37.0,Good,0.7197489769957035,Good,26.0,L0,102.5697635,-2.237276911,L0,Good
Brazil,Paraguacu,51.0,1.0,Good,7.0,Good,4.0,Good,51.0,L1,132.9698059,5.787169869,L1,Moderate
India,Bhilai,56.88387213707539,1.0,Good,40.0,Good,5.0,Good,52.47598435418563,L3,146.98248409250607,11.97868506,L3,Unhealthy
Italy,Russi,68.0,1.0,Good,31.49292614868557,Moderate,0.0,Good,68.0,L1,189.1418729,-0.723256546,L1,Moderate
,Sao Francisco Do Sul,61.0,1.0,Good,10.0,Good,5.0,Good,61.0,L1,165.6079865,-3.333975164,L1,Moderate
India,Jamshedpur,53.133749197972705,1.0,,30.112443295407736,Moderate,1.0,Good,49.80855546729109,L3,137.7752220738387,5.864402109,L3,Unhealthy
Thailand,Ao Luk,33.0,1.0,Good,19.0,Good,0.0,Good,33.0,L0,95.25115122,-8.06337657,L0,Good
Hungary,Komarom,61.0,1.0,Good,39.0,Good,1.0,Good,61.0,L1,151.7539814,-6.711426845,L1,Moderate
United States of America,Payson,57.0,1.0,Good,30.0,Good,4.0,Good,57.0,L1,123.5969563,1.707607325,L1,Moderate
Brazil,Curaca,14.0,1.0,Good,14.0,Good,0.0,Good,12.0,L0,47.04789442,2.784997203,L0,Good
China,Mengyin,55.149811243118116,1.0,Good,54.0,Moderate,0.9696381143085272,Good,45.77147410891088,L3,142.36486675753815,15.61940776,L3,Unhealthy
United States of America,Leesburg,58.0,1.0,Good,22.0,Good,1.9163125715848928,Good,58.0,L1,165.4075238,-0.740290496,L1,Moderate
Serbia,Kosovo Polje,72.0,1.0,Good,43.0,Good,1.0,Good,72.0,L1,201.0934338,-0.909671357,L1,Moderate
Ukraine,Soledar,51.0,1.0,Good,26.0,Good,1.8440158047953201,Good,51.0,L1,143.7605025,6.317071218,L1,Moderate
Thailand,Kalasin,43.0,1.0,Good,28.0,Good,1.5488016604357442,Good,43.0,L0,103.2964138,3.012161194,L0,Good
Russian Federation,Satka,34.0,1.0,Good,31.0,Good,0.0,Good,27.0,L0,100.6113176,3.194854763,L0,Good
Armenia,Martuni,43.0,1.0,Good,33.0,Good,0.0,Good,43.0,L0,115.1525702,-6.159892843,L0,Good
Japan,Iwatsuki,52.0,1.0,,52.0,Moderate,3.0,Good,28.0,L0,136.1859442,-2.535442778,L0,Moderate
United Republic of Tanzania,Old Shinyanga,24.0,1.0,Good,19.0,Good,0.0,Good,24.0,L0,77.88210471,4.842720286,L0,Good
China,Yuanping,54.744893915439654,1.0,Good,35.0,Good,5.0,Good,52.04636174791481,L2,142.04309606579224,-1.842723195,L2,Unhealthy for Sensitive Groups
